,seed_id
C16238_a,cpd14955
C16239_a,cpd14956
C16240_a,cpd14957
C16255_a,cpd00836
C00001_r,cpd00001
C00002_r,cpd00002
C00003_r,cpd00003
C00004_r,cpd00004
C00005_r,cpd00005
C00006_r,cpd00006
C00007_r,cpd00007
C00008_r,cpd00008
C00010_r,cpd00010
C00011_r,cpd00011
C00024_r,cpd00022
C00028_r,cpd11609
C00030_r,cpd11610
C00033_r,cpd00029
C00035_r,cpd00031
C00037_r,cpd00033
C00040_r,cpd11611
C00041_r,cpd00035
C00055_r,cpd00046
C00065_r,cpd00054
C00080_r,cpd00067
C00083_r,cpd00070
C00093_r,cpd00080
C00096_r,cpd00083
C00110_r,cpd11619
C00114_r,cpd00098
C00116_r,cpd00100
C00154_r,cpd00134
C00157_r,cpd11624
C00173_r,cpd11628
C00229_r,cpd11493
C00264_r,cpd11637
C00269_r,cpd11427
C00280_r,cpd00237
C00307_r,cpd00256
C00350_r,cpd11456
C00412_r,cpd00327
C00422_r,cpd11677
C00510_r,cpd00399
C00535_r,cpd00420
C00570_r,cpd00444
C00641_r,cpd11423
C00674_r,cpd00511
C00681_r,cpd00517
C00836_r,cpd00623
C00996_r,cpd11795
C00999_r,cpd11797
C01063_r,cpd00782
C01092_r,cpd00800
C02189_r,cpd12044
C02737_r,cpd11455
C02934_r,cpd01879
C03201_r,cpd12273
C03454_r,cpd12322
C03508_r,cpd02211
C03862_r,cpd12407
C03892_r,cpd11454
C03917_r,cpd02435
C04475_r,cpd12554
C04756_r,cpd12606
C05673_r,cpd03379
C05674_r,cpd03380
C05675_r,cpd12746
C16216_r,cpd14935
C16217_r,cpd14936
C16218_r,cpd14937
G00140_r,NA
G00141_r,NA
G00145_r,NA
G00146_r,NA
G00147_r,NA
G00148_r,NA
G00149_r,NA
C00325_r,cpd00272
C00015_r,cpd00014
G13044_r,NA
G13052_r,NA
C03820_r,cpd12400
C04598_r,cpd02803
C05212_r,cpd12678
C05676_r,cpd12747
C00001_m,cpd00001
C00002_m,cpd00002
C00003_m,cpd00003
C00004_m,cpd00004
C00005_m,cpd00005
C00006_m,cpd00006
C00007_m,cpd00007
C00008_m,cpd00008
C00009_m,cpd00009
C00010_m,cpd00010
C00011_m,cpd00011
C00013_m,cpd00012
C00014_m,cpd00013
C00016_m,cpd00015
C00018_m,cpd00016
C00019_m,cpd00017
C00020_m,cpd00018
C00021_m,cpd00019
C00024_m,cpd00022
C00025_m,cpd00023
C00026_m,cpd00024
C00027_m,cpd00025
C00032_m,cpd00028
C00035_m,cpd00031
C00036_m,cpd00032
C00037_m,cpd00033
C00041_m,cpd00035
C00042_m,cpd00036
C00044_m,cpd00038
C00051_m,cpd00042
C00064_m,cpd00053
C00065_m,cpd00054
C00068_m,cpd00056
C00080_m,cpd00067
C00081_m,cpd00068
C00091_m,cpd00078
C00097_m,cpd00084
C00101_m,cpd00087
C00104_m,cpd00090
C00106_m,cpd00092
C00117_m,cpd00101
C00118_m,cpd00102
C00122_m,cpd00106
C00127_m,cpd00111
C00136_m,cpd00120
C00138_m,cpd11620
C00139_m,cpd11621
C00141_m,cpd00123
C00143_m,cpd00125
C00149_m,cpd00130
C00156_m,cpd00136
C00158_m,cpd00137
C00199_m,cpd00171
C00233_m,cpd00200
C00248_m,cpd00213
C00311_m,cpd00260
C00322_m,cpd00269
C00332_m,cpd00279
C00342_m,cpd11421
C00343_m,cpd11420
C00417_m,cpd00331
C00423_m,cpd00333
C00430_m,cpd00338
C00445_m,cpd00347
C00448_m,cpd00350
C00490_m,cpd00380
C00524_m,cpd00410
C00527_m,cpd00413
C00531_m,cpd00416
C00579_m,cpd00449
C00630_m,cpd00481
C00671_m,cpd00508
C00725_m,cpd00541
C01013_m,cpd00745
C01079_m,cpd00791
C01168_m,cpd00859
C01217_m,cpd00895
C01230_m,cpd00906
C01242_m,cpd11830
C01335_m,cpd11848
C01352_m,cpd00982
C01528_m,cpd01078
C02051_m,cpd12005
C02090_m,cpd01418
C02191_m,cpd01476
C02248_m,cpd12052
C02939_m,cpd01882
C02972_m,cpd12225
C03170_m,cpd02026
C03479_m,cpd02197
C03885_m,cpd02419
C04145_m,cpd02172
C04377_m,cpd02679
C05269_m,cpd03123
C05379_m,cpd03187
C05381_m,cpd03189
C05668_m,cpd03375
C05684_m,cpd03387
C05703_m,cpd03401
C05803_m,cpd03440
C05804_m,cpd03441
C05810_m,cpd03444
C05811_m,cpd03445
C05812_m,cpd03446
C05815_m,cpd03449
C06000_m,cpd03572
C06001_m,cpd00876
C06157_m,cpd16497
C12622_m,cpd09253
C13425_m,cpd09429
C14818_m,cpd10515
C15498_m,cpd14475
C15672_m,cpd11313
C15811_m,cpd14547
C15812_m,cpd14548
C15972_m,cpd00213
C15973_m,cpd00449
C15974_m,cpd14698
C15975_m,cpd14699
C15976_m,cpd14700
C15977_m,cpd02700
C15978_m,cpd14702
C15979_m,cpd14703
C15980_m,cpd00760
C16237_m,cpd14954
C16238_m,cpd14955
C16240_m,cpd14957
C16254_m,cpd00860
C16663_m,cpd16464
C16664_m,cpd16465
C17569_m,cpd15560
C18902_m,NA
C00088_m,cpd00075
C00340_m,cpd11651
C00435_m,cpd11681
C00662_m,cpd11723
C00667_m,cpd11724
C00001_n,cpd00001
C00002_n,cpd00002
C00008_n,cpd00008
C00009_n,cpd00009
C00019_n,cpd00017
C00021_n,cpd00019
C00085_n,cpd00072
C00117_n,cpd00101
C00118_n,cpd00102
C00231_n,cpd00198
C00279_n,cpd00236
C02188_n,cpd12043
C05382_n,cpd00238
C05544_n,cpd12736
C05545_n,cpd12737
C05546_n,cpd12738
C12214_n,cpd08993
C12215_n,cpd08994
UQH28_m,cpd15561
C00022_m,cpd00020
C05125_m,cpd03049
C16255_m,cpd00836
C00422_c,cpd11677
C00080_e,cpd00067
C00256_e,cpd00221
C00186_e,cpd00159
C00080_n,cpd00067
C00157_c,cpd11624
C00040_c,cpd11611
C00836_c,cpd00623
C02934_c,cpd01879
C00013_r,cpd00012
C00063_r,cpd00052
C00189_r,cpd00162
C00346_r,cpd00285
C00416_r,cpd11422
C00588_r,cpd00457
C00051_r,cpd00042
C00127_r,cpd00111
C00342_r,cpd11421
C00343_r,cpd11420
C01528_r,cpd01078
C03557_r,cpd02233
C05684_r,cpd03387
C05703_r,cpd03401
C18902_r,NA
C00350_c,cpd11456
C01063_c,cpd00782
C01092_c,cpd00800
C03201_c,cpd12273
C03454_c,cpd12322
C03508_c,cpd02211
C04475_c,cpd12554
C04756_c,cpd12606
C05675_c,cpd12746
C03820_c,cpd12400
C04598_c,cpd02803
C05212_c,cpd12678
C05676_c,cpd12747
C06459_r,cpd03876
C00353_c,cpd00289
C05781_c,cpd12770
C00125_m,cpd00109
C00126_m,cpd00110
C00550_c,cpd00431
C00187_c,cpd00160
C00712_c,cpd00536
C01530_c,cpd01080
C01595_c,cpd01122
C06424_c,cpd03847
C00120_c,cpd00104
C00440_c,cpd00345
C06453_c,cpd12878
C00029_c,cpd00026
C00052_c,cpd00043
C00828_m,cpd11451
biomass,NA
C00001_e,cpd00001
C00007_e,cpd00007
C00009_e,cpd00009
C00011_e,cpd00011
C00013_e,cpd00012
C00014_e,cpd00013
C00019_e,cpd00017
C00021_e,cpd00019
C00022_e,cpd00020
C00025_e,cpd00023
C00026_e,cpd00024
C00027_e,cpd00025
C00031_e,cpd00027
C00033_e,cpd00029
C00036_e,cpd00032
C00037_e,cpd00033
C00041_e,cpd00035
C00047_e,cpd00039
C00049_e,cpd00041
C00051_e,cpd00042
C00059_e,cpd00048
C00062_e,cpd00051
C00064_e,cpd00053
C00065_e,cpd00054
C00067_e,cpd00055
C00073_e,cpd00060
C00077_e,cpd00064
C00078_e,cpd00065
C00079_e,cpd00066
C00082_e,cpd00069
C00084_e,cpd00071
C00086_e,cpd00073
C00095_e,cpd00082
C00097_e,cpd00084
C00101_e,cpd00087
C00106_e,cpd00092
C00114_e,cpd00098
C00116_e,cpd00100
C00122_e,cpd00106
C00123_e,cpd00107
C00127_e,cpd00111
C00132_e,cpd00116
C00134_e,cpd00118
C00135_e,cpd00119
C00137_e,cpd00121
C00143_e,cpd00125
C00147_e,cpd00128
C00148_e,cpd00129
C00149_e,cpd00130
C00152_e,cpd00132
C00155_e,cpd00135
C00158_e,cpd00137
C00159_e,cpd00138
C00163_e,cpd00141
C00166_e,cpd00143
C00170_e,cpd00147
C00183_e,cpd00156
C00188_e,cpd00161
C00189_e,cpd00162
C00212_e,cpd00182
C00234_e,cpd00201
C00242_e,cpd00207
C00249_e,cpd00214
C00251_e,cpd00216
C00253_e,cpd00218
C00255_e,cpd00220
C00262_e,cpd00226
C00288_e,cpd00242
C00294_e,cpd00246
C00295_e,cpd00247
C00299_e,cpd00249
C00302_e,cpd00023
C00311_e,cpd00260
C00315_e,cpd00264
C00329_e,cpd00276
C00337_e,cpd00282
C00376_e,cpd00304
C00378_e,cpd00305
C00385_e,cpd00309
C00407_e,cpd00322
C00415_e,cpd00330
C00417_e,cpd00331
C00438_e,cpd00343
C00473_e,cpd00365
C00499_e,cpd00388
C00504_e,cpd00393
C00506_e,cpd00395
C00559_e,cpd00438
C00568_e,cpd00443
C00577_e,cpd00448
C00590_e,cpd00458
C00603_e,cpd00465
C00606_e,cpd00467
C00641_e,cpd11423
C00669_e,cpd00506
C00750_e,cpd00558
